B73V4_ctg98	63869	7	43896931	-
B73V4_ctg98	63869	4	57951342	-
B73V4_ctg98	63869	1	75942415	+
B73V4_ctg98	63869	7	57179228	-
B73V4_ctg98	63869	1	5005958	-
B73V4_ctg98	63869	1	51197870	-
B73V4_ctg98	63869	1	80401982	+
B73V4_ctg98	63869	2	55360693	+
B73V4_ctg98	63869	10	35869087	-
B73V4_ctg98	63869	1	38138992	+
B73V4_ctg98	63869	6	40446542	-
B73V4_ctg98	63869	2	18803644	+
B73V4_ctg98	63869	7	18986394	-
B73V4_ctg98	96278	8	60621501	-
B73V4_ctg98	96278	8	60597155	-
B73V4_ctg102	36642	*	0	-
B73V4_ctg44	29069	6	53044461	-
B73V4_ctg44	29069	6	44128662	-
B73V4_ctg44	29069	6	53044752	-
B73V4_ctg44	71975	6	53021800	+
B73V4_ctg49	34019	10	6375107	+
B73V4_ctg11	52503	9	54373335	-
B73V4_ctg11	97859	2	66974396	-
B73V4_ctg123	9585	7	6923029	-
B73V4_ctg92	52272	1	69540369	+
